"vid","vcondition","vvin","vstockno","vmake","vmodel","vyear","vtrim","vbody","vmileage","vengine","vcylinders","vfueltype","vtransm","vrprice","vecolor_txt","vicolor_txt","vehicleOptionsBulk","vcomments","export_cfs_photourls"
"7803","Used","3GNEC16Z54G144581","17134","Chevrolet","Suburban","2004","","SUV","","","","","Automatic Trans.","","Black","Gray","","","http://images.autocitymag.com/60/7803/DSC_0792.JPG?dt=201705091427,http://images.autocitymag.com/60/7803/DSC_0792.JPG?dt=201705091432,http://images.autocitymag.com/60/7803/DSC_0793.JPG?dt=201705091432,http://images.autocitymag.com/60/7803/DSC_0794.JPG?dt=201705091432,http://images.autocitymag.com/60/7803/DSC_0795.JPG?dt=201705091432,http://images.autocitymag.com/60/7803/DSC_0796.JPG?dt=201705091432,http://images.autocitymag.com/60/7803/DSC_0797.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0798.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0799.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0800.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0801.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0802.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0803.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0804.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0805.JPG?dt=201705091436,http://images.autocitymag.com/60/7803/DSC_0806.JPG?dt=201705091439,http://images.autocitymag.com/60/7803/DSC_0807.JPG?dt=201705091439,http://images.autocitymag.com/60/7803/DSC_0808.JPG?dt=201705091439,http://images.autocitymag.com/60/7803/DSC_0809.JPG?dt=201705091439,http://images.autocitymag.com/60/7803/DSC_0810.JPG?dt=201705091439"
"7807","Used","JTEGD20V340008959","17131","Toyota","RAV4","2004","","SUV","","","","","Automatic Trans.","","White","Tan","","","http://images.autocitymag.com/60/7807/DSC_0830.JPG?dt=201705091612,http://images.autocitymag.com/60/7807/DSC_0830.JPG?dt=201705091613,http://images.autocitymag.com/60/7807/DSC_0831.JPG?dt=201705091613,http://images.autocitymag.com/60/7807/DSC_0832.JPG?dt=201705091613,http://images.autocitymag.com/60/7807/DSC_0833.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0834.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0835.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0836.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0837.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0838.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0839.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0840.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0841.JPG?dt=201705091615,http://images.autocitymag.com/60/7807/DSC_0842.JPG?dt=201705091616"
"7811","Used","1FAHP3FN8AW111564","17119","Ford","Focus","2010","","Sedan","","","","","Automatic Trans.","","Off White","Gray","","","http://images.autocitymag.com/60/7811/DSC_0881.JPG?dt=201705091702,http://images.autocitymag.com/60/7811/DSC_0881.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0882.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0883.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0884.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0885.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0886.JPG?dt=201705091704,http://images.autocitymag.com/60/7811/DSC_0887.JPG?dt=201705091705,http://images.autocitymag.com/60/7811/DSC_0888.JPG?dt=201705091705,http://images.autocitymag.com/60/7811/DSC_0889.JPG?dt=201705091705,http://images.autocitymag.com/60/7811/DSC_0890.JPG?dt=201705091705,http://images.autocitymag.com/60/7811/DSC_0891.JPG?dt=201705091705"
"5378","Used","3GNEC16Z53G141999","15681","Chevrolet","Suburban","2003","","SUV","","","","","automatic","","Gray Dark","Gray","","Applicable taxes applied to all sales.","http://images.autocitymag.com/60/5378/DSC_0016.JPG?dt=201502180952,http://images.autocitymag.com/60/5378/DSC_0016.JPG?dt=201502180952,http://images.autocitymag.com/60/5378/DSC_0017.JPG?dt=201502180952,http://images.autocitymag.com/60/5378/DSC_0018.JPG?dt=201502180952,http://images.autocitymag.com/60/5378/DSC_0019.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0021.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0022.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0023.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0024.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0025.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0026.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0027.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0028.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0029.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0030.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0031.JPG?dt=201502180954,http://images.autocitymag.com/60/5378/DSC_0033.JPG?dt=201502180954"
"6335","Used","1GNES16S746175709","15865","Chevrolet","TrailBlazer","2004","","SUV","","","","","Automatic Trans.","","Green Dark","Gray Light","","","http://images.autocitymag.com/60/6335/DSC_0176.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0176.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0177.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0178.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0179.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0180.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0181.JPG?dt=201511121306,http://images.autocitymag.com/60/6335/DSC_0183.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0184.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0185.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0186.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0187.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0188.JPG?dt=201511121308,http://images.autocitymag.com/60/6335/DSC_0189.JPG?dt=201511121308"
"6918","Used","1B7GL22X3WS731014","16006","Dodge","Dakota","1998","","Truck","","","","","Automatic Trans.","","White","Gray","","","http://images.autocitymag.com/60/6918/DSC_0014.JPG?dt=201606091151,http://images.autocitymag.com/60/6918/DSC_0014.JPG?dt=201606091152,http://images.autocitymag.com/60/6918/DSC_0015.JPG?dt=201606091152,http://images.autocitymag.com/60/6918/DSC_0016.JPG?dt=201606091152,http://images.autocitymag.com/60/6918/DSC_0017.JPG?dt=201606091152,http://images.autocitymag.com/60/6918/DSC_0018.JPG?dt=201606091152,http://images.autocitymag.com/60/6918/DSC_0019.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0020.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0021.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0022.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0023.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0025.JPG?dt=201606091153,http://images.autocitymag.com/60/6918/DSC_0026.JPG?dt=201606091153"
"6929","Used","JTEZU17RX40034468","16021","Toyota","4 Runner","2004","","SUV","","","","","automatic","","White","Gray","","SPORTY & ROOMY!!!","http://images.autocitymag.com/60/6929/DSC_0140.JPG?dt=201606211206,http://images.autocitymag.com/60/6929/DSC_0140.JPG?dt=201606211207,http://images.autocitymag.com/60/6929/DSC_0141.JPG?dt=201606211207,http://images.autocitymag.com/60/6929/DSC_0142.JPG?dt=201606211207,http://images.autocitymag.com/60/6929/DSC_0143.JPG?dt=201606211207,http://images.autocitymag.com/60/6929/DSC_0145.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0146.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0147.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0148.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0149.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0150.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0151.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0152.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0154.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0155.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0156.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0157.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0158.JPG?dt=201606211209,http://images.autocitymag.com/60/6929/DSC_0159.JPG?dt=201606211209"
"7118","Used","1GTCS19X1W8508842","16051","GMC","Sonoma","1998","","Truck","","","0","","Automatic","","Select Color","Select Color","","","http://images.autocitymag.com/60/7118/DSC_0030.JPG?dt=201609190857,http://images.autocitymag.com/60/7118/DSC_0030.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0031.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0032.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0033.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0034.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0035.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0036.JPG?dt=201609190858,http://images.autocitymag.com/60/7118/DSC_0037.JPG?dt=201609190859,http://images.autocitymag.com/60/7118/DSC_0038.JPG?dt=201609190859,http://images.autocitymag.com/60/7118/DSC_0039.JPG?dt=201609190859,http://images.autocitymag.com/60/7118/DSC_0040.JPG?dt=201609190859"
"7240","Used","1G2ZG57B184244644","17019","Pontiac","G6","2008","","Sedan","","","","","Automatic Trans.","","Silver","Gray Dark","","","http://images.autocitymag.com/60/7240/DSC_0065.JPG?dt=201611290934,http://images.autocitymag.com/60/7240/DSC_0065.JPG?dt=201611290936,http://images.autocitymag.com/60/7240/DSC_0066.JPG?dt=201611290936,http://images.autocitymag.com/60/7240/DSC_0067.JPG?dt=201611290936,http://images.autocitymag.com/60/7240/DSC_0068.JPG?dt=201611290936,http://images.autocitymag.com/60/7240/DSC_0069.JPG?dt=201611290936,http://images.autocitymag.com/60/7240/DSC_0071.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0072.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0073.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0074.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0076.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0077.JPG?dt=201611290937,http://images.autocitymag.com/60/7240/DSC_0078.JPG?dt=201611290937"
"7756","Used","1GCGK13U53F184043","16009","Chevrolet","Silverado 1500","2003","","Pick-Up","","","","","Automatic Trans.","","White","Tan","","","http://images.autocitymag.com/60/7756/DSC_0620.JPG?dt=201702091030,http://images.autocitymag.com/60/7756/DSC_0620.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0621.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0622.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0623.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0624.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0625.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0626.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0627.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0628.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0629.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0630.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0631.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0632.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0633.JPG?dt=201702091033,http://images.autocitymag.com/60/7756/DSC_0634.JPG?dt=201702091033"
