"record_id","vin","stock_number","title","url","category","images","address","city","state","zip","country","seller_type","dealer_name","dealer_id","dealer_email","dealer_phone","dealer_website","dealer_fee","make","model","trim","body","mileage","year","currency","price","exterior_color","interior_color","interior_material","doors","cylinders","engine_size","drive_type","transmission","cpo","description","standard_features","optional_features","seller_comments","vehicle_condition","listing_time","expire_time"
"7803","3GNEC16Z54G144581","17134","","www.centralauto.com/vehicle.php?vid=7803","","http://images.autocitymag.com/60/7803/DSC_0792.JPG|http://images.autocitymag.com/60/7803/DSC_0792.JPG|http://images.autocitymag.com/60/7803/DSC_0793.JPG|http://images.autocitymag.com/60/7803/DSC_0794.JPG|http://images.autocitymag.com/60/7803/DSC_0795.JPG|http://images.autocitymag.com/60/7803/DSC_0796.JPG|http://images.autocitymag.com/60/7803/DSC_0797.JPG|http://images.autocitymag.com/60/7803/DSC_0798.JPG|http://images.autocitymag.com/60/7803/DSC_0799.JPG|http://images.autocitymag.com/60/7803/DSC_0800.JPG|http://images.autocitymag.com/60/7803/DSC_0801.JPG|http://images.autocitymag.com/60/7803/DSC_0802.JPG|http://images.autocitymag.com/60/7803/DSC_0803.JPG|http://images.autocitymag.com/60/7803/DSC_0804.JPG|http://images.autocitymag.com/60/7803/DSC_0805.JPG|http://images.autocitymag.com/60/7803/DSC_0806.JPG|http://images.autocitymag.com/60/7803/DSC_0807.JPG|http://images.autocitymag.com/60/7803/DSC_0808.JPG|http://images.autocitymag.com/60/7803/DSC_0809.JPG|http://images.autocitymag.com/60/7803/DSC_0810.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Chevrolet","Suburban","","SUV","","2004","USD","","Black","Gray","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"7807","JTEGD20V340008959","17131","","www.centralauto.com/vehicle.php?vid=7807","","http://images.autocitymag.com/60/7807/DSC_0830.JPG|http://images.autocitymag.com/60/7807/DSC_0830.JPG|http://images.autocitymag.com/60/7807/DSC_0831.JPG|http://images.autocitymag.com/60/7807/DSC_0832.JPG|http://images.autocitymag.com/60/7807/DSC_0833.JPG|http://images.autocitymag.com/60/7807/DSC_0834.JPG|http://images.autocitymag.com/60/7807/DSC_0835.JPG|http://images.autocitymag.com/60/7807/DSC_0836.JPG|http://images.autocitymag.com/60/7807/DSC_0837.JPG|http://images.autocitymag.com/60/7807/DSC_0838.JPG|http://images.autocitymag.com/60/7807/DSC_0839.JPG|http://images.autocitymag.com/60/7807/DSC_0840.JPG|http://images.autocitymag.com/60/7807/DSC_0841.JPG|http://images.autocitymag.com/60/7807/DSC_0842.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Toyota","RAV4","","SUV","","2004","USD","","White","Tan","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"7811","1FAHP3FN8AW111564","17119","","www.centralauto.com/vehicle.php?vid=7811","","http://images.autocitymag.com/60/7811/DSC_0881.JPG|http://images.autocitymag.com/60/7811/DSC_0881.JPG|http://images.autocitymag.com/60/7811/DSC_0882.JPG|http://images.autocitymag.com/60/7811/DSC_0883.JPG|http://images.autocitymag.com/60/7811/DSC_0884.JPG|http://images.autocitymag.com/60/7811/DSC_0885.JPG|http://images.autocitymag.com/60/7811/DSC_0886.JPG|http://images.autocitymag.com/60/7811/DSC_0887.JPG|http://images.autocitymag.com/60/7811/DSC_0888.JPG|http://images.autocitymag.com/60/7811/DSC_0889.JPG|http://images.autocitymag.com/60/7811/DSC_0890.JPG|http://images.autocitymag.com/60/7811/DSC_0891.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Ford","Focus","","Sedan","","2010","USD","","Off White","Gray","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"5378","3GNEC16Z53G141999","15681","","www.centralauto.com/vehicle.php?vid=5378","","http://images.autocitymag.com/60/5378/DSC_0016.JPG|http://images.autocitymag.com/60/5378/DSC_0016.JPG|http://images.autocitymag.com/60/5378/DSC_0017.JPG|http://images.autocitymag.com/60/5378/DSC_0018.JPG|http://images.autocitymag.com/60/5378/DSC_0019.JPG|http://images.autocitymag.com/60/5378/DSC_0021.JPG|http://images.autocitymag.com/60/5378/DSC_0022.JPG|http://images.autocitymag.com/60/5378/DSC_0023.JPG|http://images.autocitymag.com/60/5378/DSC_0024.JPG|http://images.autocitymag.com/60/5378/DSC_0025.JPG|http://images.autocitymag.com/60/5378/DSC_0026.JPG|http://images.autocitymag.com/60/5378/DSC_0027.JPG|http://images.autocitymag.com/60/5378/DSC_0028.JPG|http://images.autocitymag.com/60/5378/DSC_0029.JPG|http://images.autocitymag.com/60/5378/DSC_0030.JPG|http://images.autocitymag.com/60/5378/DSC_0031.JPG|http://images.autocitymag.com/60/5378/DSC_0033.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Chevrolet","Suburban","","SUV","","2003","USD","","Gray Dark","Gray","","","","","automatic","automatic","","","","","Applicable taxes applied to all sales.","Used","2017-09-07-02:10:01","2017-10-07-02:10:01"
"6335","1GNES16S746175709","15865","","www.centralauto.com/vehicle.php?vid=6335","","http://images.autocitymag.com/60/6335/DSC_0176.JPG|http://images.autocitymag.com/60/6335/DSC_0176.JPG|http://images.autocitymag.com/60/6335/DSC_0177.JPG|http://images.autocitymag.com/60/6335/DSC_0178.JPG|http://images.autocitymag.com/60/6335/DSC_0179.JPG|http://images.autocitymag.com/60/6335/DSC_0180.JPG|http://images.autocitymag.com/60/6335/DSC_0181.JPG|http://images.autocitymag.com/60/6335/DSC_0183.JPG|http://images.autocitymag.com/60/6335/DSC_0184.JPG|http://images.autocitymag.com/60/6335/DSC_0185.JPG|http://images.autocitymag.com/60/6335/DSC_0186.JPG|http://images.autocitymag.com/60/6335/DSC_0187.JPG|http://images.autocitymag.com/60/6335/DSC_0188.JPG|http://images.autocitymag.com/60/6335/DSC_0189.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Chevrolet","TrailBlazer","","SUV","","2004","USD","","Green Dark","Gray Light","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"6918","1B7GL22X3WS731014","16006","","www.centralauto.com/vehicle.php?vid=6918","","http://images.autocitymag.com/60/6918/DSC_0014.JPG|http://images.autocitymag.com/60/6918/DSC_0014.JPG|http://images.autocitymag.com/60/6918/DSC_0015.JPG|http://images.autocitymag.com/60/6918/DSC_0016.JPG|http://images.autocitymag.com/60/6918/DSC_0017.JPG|http://images.autocitymag.com/60/6918/DSC_0018.JPG|http://images.autocitymag.com/60/6918/DSC_0019.JPG|http://images.autocitymag.com/60/6918/DSC_0020.JPG|http://images.autocitymag.com/60/6918/DSC_0021.JPG|http://images.autocitymag.com/60/6918/DSC_0022.JPG|http://images.autocitymag.com/60/6918/DSC_0023.JPG|http://images.autocitymag.com/60/6918/DSC_0025.JPG|http://images.autocitymag.com/60/6918/DSC_0026.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Dodge","Dakota","","Truck","","1998","USD","","White","Gray","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"6929","JTEZU17RX40034468","16021","","www.centralauto.com/vehicle.php?vid=6929","","http://images.autocitymag.com/60/6929/DSC_0140.JPG|http://images.autocitymag.com/60/6929/DSC_0140.JPG|http://images.autocitymag.com/60/6929/DSC_0141.JPG|http://images.autocitymag.com/60/6929/DSC_0142.JPG|http://images.autocitymag.com/60/6929/DSC_0143.JPG|http://images.autocitymag.com/60/6929/DSC_0145.JPG|http://images.autocitymag.com/60/6929/DSC_0146.JPG|http://images.autocitymag.com/60/6929/DSC_0147.JPG|http://images.autocitymag.com/60/6929/DSC_0148.JPG|http://images.autocitymag.com/60/6929/DSC_0149.JPG|http://images.autocitymag.com/60/6929/DSC_0150.JPG|http://images.autocitymag.com/60/6929/DSC_0151.JPG|http://images.autocitymag.com/60/6929/DSC_0152.JPG|http://images.autocitymag.com/60/6929/DSC_0154.JPG|http://images.autocitymag.com/60/6929/DSC_0155.JPG|http://images.autocitymag.com/60/6929/DSC_0156.JPG|http://images.autocitymag.com/60/6929/DSC_0157.JPG|http://images.autocitymag.com/60/6929/DSC_0158.JPG|http://images.autocitymag.com/60/6929/DSC_0159.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Toyota","4 Runner","","SUV","","2004","USD","","White","Gray","","","","","automatic","automatic","","","","","SPORTY & ROOMY!!!","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"7118","1GTCS19X1W8508842","16051","","www.centralauto.com/vehicle.php?vid=7118","","http://images.autocitymag.com/60/7118/DSC_0030.JPG|http://images.autocitymag.com/60/7118/DSC_0030.JPG|http://images.autocitymag.com/60/7118/DSC_0031.JPG|http://images.autocitymag.com/60/7118/DSC_0032.JPG|http://images.autocitymag.com/60/7118/DSC_0033.JPG|http://images.autocitymag.com/60/7118/DSC_0034.JPG|http://images.autocitymag.com/60/7118/DSC_0035.JPG|http://images.autocitymag.com/60/7118/DSC_0036.JPG|http://images.autocitymag.com/60/7118/DSC_0037.JPG|http://images.autocitymag.com/60/7118/DSC_0038.JPG|http://images.autocitymag.com/60/7118/DSC_0039.JPG|http://images.autocitymag.com/60/7118/DSC_0040.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","GMC","Sonoma","","Truck","","1998","USD","","Select Color","Select Color","","","0","","Automatic","Automatic","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"7240","1G2ZG57B184244644","17019","","www.centralauto.com/vehicle.php?vid=7240","","http://images.autocitymag.com/60/7240/DSC_0065.JPG|http://images.autocitymag.com/60/7240/DSC_0065.JPG|http://images.autocitymag.com/60/7240/DSC_0066.JPG|http://images.autocitymag.com/60/7240/DSC_0067.JPG|http://images.autocitymag.com/60/7240/DSC_0068.JPG|http://images.autocitymag.com/60/7240/DSC_0069.JPG|http://images.autocitymag.com/60/7240/DSC_0071.JPG|http://images.autocitymag.com/60/7240/DSC_0072.JPG|http://images.autocitymag.com/60/7240/DSC_0073.JPG|http://images.autocitymag.com/60/7240/DSC_0074.JPG|http://images.autocitymag.com/60/7240/DSC_0076.JPG|http://images.autocitymag.com/60/7240/DSC_0077.JPG|http://images.autocitymag.com/60/7240/DSC_0078.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Pontiac","G6","","Sedan","","2008","USD","","Silver","Gray Dark","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
"7756","1GCGK13U53F184043","16009","","www.centralauto.com/vehicle.php?vid=7756","","http://images.autocitymag.com/60/7756/DSC_0620.JPG|http://images.autocitymag.com/60/7756/DSC_0620.JPG|http://images.autocitymag.com/60/7756/DSC_0621.JPG|http://images.autocitymag.com/60/7756/DSC_0622.JPG|http://images.autocitymag.com/60/7756/DSC_0623.JPG|http://images.autocitymag.com/60/7756/DSC_0624.JPG|http://images.autocitymag.com/60/7756/DSC_0625.JPG|http://images.autocitymag.com/60/7756/DSC_0626.JPG|http://images.autocitymag.com/60/7756/DSC_0627.JPG|http://images.autocitymag.com/60/7756/DSC_0628.JPG|http://images.autocitymag.com/60/7756/DSC_0629.JPG|http://images.autocitymag.com/60/7756/DSC_0630.JPG|http://images.autocitymag.com/60/7756/DSC_0631.JPG|http://images.autocitymag.com/60/7756/DSC_0632.JPG|http://images.autocitymag.com/60/7756/DSC_0633.JPG|http://images.autocitymag.com/60/7756/DSC_0634.JPG","2677 East College Avenue ","Decatur","GA","30030","USA","","Central Auto Sales","60","","(404) 377-2649","www.centralauto.com","","Chevrolet","Silverado 1500","","Pick-Up","","2003","USD","","White","Tan","","","","","Automatic Trans.","Automatic Trans.","","","","","","Used","2017-09-07-02:10:02","2017-10-07-02:10:02"
